Nummer,Titel,"Adresse des Gartens",lat,lon,Entwicklungsstand,Stadtackertyp,ID,Elementtyp,Pfad
78,"Rosenduft,Interkultureller Garten","Möckernstr 105","52,4949150143333","13,3785937936401",Laufend,"Interkultureller Garten;#8",17,Element,Lists/Projekte
79,"Rübezahl  Gemeinschaftsgarten ",Oderstr,"52,470768283161","13,4182963015747",Laufend,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5",38,Element,Lists/Projekte
80,"Spiritueller Garten an der Panke","Uferstr 12","52,5508817893576","13,3738047767211",Unklar,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5;#Religiöser Garten;#34",334,Element,Lists/Projekte
81,Spreefeld/Spreeacker,"Köpenicker Str 48/49","52,5108384830799","13,4247456118477",Geplant,"Bildungs-/Lehrgarten;#22;#Dachgarten/-farm;#2;#Gemeinschaftsgarten (individuelle Nutzung);#4;#Heilgarten;#21;#Imkerei;#7;#Jugend - / Kinder-Garten;#33;#Schulgarten (allg. Schulbildung);#16;#sonstige gebäudeintegrierte Gärten;#13",333,Element,Lists/Projekte
82,Stadtacker,"Columbiadamm 91","52,4814753779156","13,4024112630211",Laufend,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5",284,Element,Lists/Projekte
83,Stadtbienenhonig,Ritterstr,"52,5020960240788","13,4064043904907",Laufend,Imkerei;#7,45,Element,Lists/Projekte
84,"StadtGut Blankenfelde","Hauptstr 30","52,6162859361935","13,3935631190491",Laufend,"Stadt-Farm/Bauernhof;#14;#Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5",42,Element,Lists/Projekte
85,"Stadtlaube 2.0: Ein Projekt von RESET","Köpenicker Str 47/48","52,5105298471198","13,4254791217041",Geplant,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5;#x_Sonstiges;#18",324,Element,Lists/Projekte
86,"Stadtteilgarten Schillerkiez",Oderstr,"52,4772250250878","13,415463888855",Laufend,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5",14,Element,Lists/Projekte
87,"TDZ Interkultureller Garten Neukölln","Werbellinstr 50","52,4789798020773","13,4311708657456",Abgeschlossen,"Interkultureller Garten;#8",66,Element,Lists/Projekte
88,"Tessa e.V. Generationengarten",Lipschitzallee,"52,4278932710043","13,4668649570084",Laufend,Generationengarten;#6,78,Element,Lists/Projekte
89,"Ton Steine Gärten",Bethaniendamm,"52,5059083697783","13,427574635582",Laufend,"Interkultureller Garten;#8;#Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5",16,Element,Lists/Projekte
90,"Wachsen lassen (Familiengarten Mitte)","Kluckstr 11","52,504163468535","13,3622342576027",Laufend,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5;#Jugend - / Kinder-Garten;#33",321,Element,Lists/Projekte
91,"Wriezener Freiraumlabor","Helsingforser Str 11-13","52,5099776456387","13,4453558846558",Laufend,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5",44,Element,Lists/Projekte
92,"Wuhlegarten – Interkultureller Garten Köpenick","Cardinalplatz 1c","52,45573","13,571",Laufend,"Interkultureller Garten;#8;#Religiöser Garten;#34",12,Element,Lists/Projekte
